,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
374,000300.SH,20101213,3178.657,3270.201,3282.772,3117.998,3161.977,99.084,3.1336,332852491.0,472203525.084
375,000300.SH,20101206,3261.061,3152.733,3261.344,3101.083,3158.156,7.414,0.2348,336974125.0,465920905.436
376,000300.SH,20101129,3165.57,3187.529,3205.782,3060.438,3194.853,-4.803,-0.1503,302506915.0,431239731.452
377,000300.SH,20101122,3190.05,3156.478,3227.054,3061.623,3178.846,-6.905,-0.2172,359636484.0,514943644.556
378,000300.SH,20101115,3171.941,3311.616,3311.616,3076.213,3291.833,23.06,0.7005,423822874.0,596711412.859
379,000300.SH,20101108,3314.893,3547.44,3557.987,3241.758,3520.798,27.768,0.7887,644558918.0,924519928.3920001
380,000300.SH,20101101,3548.566,3484.232,3554.47,3419.08,3379.983,93.012,2.7518,662229020.0,948186575.361
381,000300.SH,20101025,3472.995,3491.474,3499.817,3351.601,3378.655,102.426,3.0316,591476143.0,855679019.679
382,000300.SH,20101018,3481.081,3300.517,3481.347,3279.999,3327.683,-21.523,-0.6468,682648458.0,948207707.955
383,000300.SH,20101011,3306.16,3121.636,3390.015,3106.224,3044.233,88.662,2.9125,862877507.0,1114848064.9420002
384,000300.SH,20100927,3132.895,2900.536,3154.204,2857.418,2857.476,47.553,1.6642,437172933.0,583679200.335
385,000300.SH,20100920,2905.029,2859.43,2905.526,2844.125,2861.369,-11.541,-0.4033,84823704.0,107353559.43200001
386,000300.SH,20100913,2849.828,2971.547,2984.466,2829.757,2932.554,29.765,1.015,318021800.0,377898074.111
387,000300.SH,20100906,2962.319,2979.298,2991.435,2890.035,2920.205,54.885,1.8795,360153521.0,452676695.90000004
388,000300.SH,20100830,2975.09,2905.154,2980.424,2859.166,2858.566,56.444,1.9746,379939241.0,455022323.162
389,000300.SH,20100823,2915.01,2892.129,2933.118,2833.422,2898.333,-2.141,-0.0739,279914323.0,307988699.824
390,000300.SH,20100816,2896.192,2927.258,2975.188,2886.659,2855.547,66.536,2.3301,344704200.0,399338450.499
391,000300.SH,20100809,2922.083,2920.404,2927.688,2799.221,2897.659,20.582,0.7103,332883158.0,363246870.49
392,000300.SH,20100802,2918.241,2925.254,2929.614,2818.248,2868.846,48.429,1.6881,369865270.0,401156307.724
393,000300.SH,20100726,2917.275,2803.755,2922.612,2784.155,2793.076,17.979,0.6437,360070138.0,371552618.513
394,000300.SH,20100719,2811.055,2685.459,2811.953,2685.459,2616.128,66.344,2.536,323048834.0,348541744.67999995
395,000300.SH,20100712,2682.472,2649.658,2691.937,2573.794,2647.104,29.114,1.0998,219289197.0,231315378.63500002
396,000300.SH,20100705,2676.218,2504.869,2689.809,2502.931,2534.105,-21.454,-0.8466,226448173.0,236317824.84399998
397,000300.SH,20100628,2512.651,2717.465,2724.231,2462.202,2736.287,-19.51,-0.713,194407666.0,193213936.786
398,000300.SH,20100621,2716.777,2772.886,2795.323,2710.087,2696.166,84.497,3.134,162298910.0,186427761.788
399,000300.SH,20100607,2780.663,2694.106,2787.825,2672.058,2744.391,-48.676,-1.7737,308496816.0,365929683.072
