,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
196,000905.SH,20180308,6131.5142,6073.6712,6131.7046,6073.6712,6086.4874,45.0268,0.7398,67889911.0,76733020.342
197,000905.SH,20180307,6086.4874,6133.9467,6149.097,6082.5838,6145.5768,-59.0894,-0.9615,74594129.0,84935051.857
198,000905.SH,20180306,6145.5768,6077.3686,6145.8509,6070.7211,6064.0983,81.4785,1.3436,83495767.0,99900152.655
199,000905.SH,20180305,6064.0983,6066.683000000001,6080.9695,6031.9803,6056.3354,7.7629,0.1282,67324693.0,82113731.232
200,000905.SH,20180302,6056.3354,6053.4765,6094.7976,6044.2591,6090.2247,-33.8893,-0.5565,73434829.0,86135000.10299999
201,000905.SH,20180301,6090.2247,5987.3591,6090.9953,5974.1183,6023.677,66.5477,1.1048,73101773.0,86470400.02200001
202,000905.SH,20180228,6023.677,5967.8977,6044.0694,5939.6425,6010.5573,13.1197,0.2183,70986917.0,82266508.208
203,000905.SH,20180227,6010.5573,6025.8832,6042.3888,6000.8809999999985,6029.6795,-19.1222,-0.3171,77022158.0,90285128.512
204,000905.SH,20180226,6029.6795,5926.4208,6032.1358,5917.6165,5897.6765,132.003,2.2382,83073987.0,92064854.906
205,000905.SH,20180223,5897.6765,5877.7159,5902.9357,5848.5227,5875.7272,21.9493,0.3736,62147850.0,64825103.16100001
206,000905.SH,20180222,5875.7272,5800.9493,5875.7592,5797.9076,5754.8344,120.8928,2.1007,59636107.0,61991950.413
207,000905.SH,20180214,5754.8344,5741.8838,5761.7685,5712.879,5736.9505,17.8839,0.3117,41398222.0,42489982.297
208,000905.SH,20180213,5736.9505,5731.147,5789.6975,5727.754,5699.0979,37.8526,0.6642,57208634.0,62790499.693
209,000905.SH,20180212,5699.0979,5581.7113,5714.8183,5581.7113,5554.8974,144.2005,2.5959,57246494.0,61430758.213
210,000905.SH,20180209,5554.8974,5631.9603,5663.1036,5490.6248,5766.4797,-211.5823,-3.6692,84318842.0,82291670.302
